ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,ni.5,keep
lavoro 2019-2021 comparto funzioni centrali ,11,0.0002879732,40.47267,0.7748272,0.0029,0.0003,0.0005,0.0008,0.0005,0
regioni province autonome trento bolzano ,25,0.0006544845,40.09817,0.7912729,0.0015,0.0010,0.0008,0.0007,0.0007,1
sistemi informativi dipartimento ragioneria generale ,18,0.0004712289,38.67492,0.7777573,0.0009,0.0006,0.0014,0.0008,0.0018,0
società istituto credito sportivo culturale ,12,0.0003141526,38.16349,0.7663392,0.0021,0.0010,0.0021,0.0005,0.0005,0
collettivo nazionale lavoro 2019-2021 comparto ,11,0.0002879732,37.91160,0.7632177,0.0006,0.0042,0.0029,0.0003,0.0005,0
ministero agricoltura sovranità alimentare foreste ,18,0.0004712289,37.73035,0.7734540,0.0035,0.0009,0.0008,0.0010,0.0008,1
nazionale lavoro 2019-2021 comparto funzioni ,11,0.0002879732,37.46431,0.7610662,0.0042,0.0029,0.0003,0.0005,0.0008,0
contratto collettivo nazionale lavoro 2019-2021 ,11,0.0002879732,36.83799,0.7579870,0.0010,0.0006,0.0042,0.0029,0.0003,0
sede conferenza permanente rapporti stato ,11,0.0002879732,36.69072,0.7572514,0.0008,0.0009,0.0005,0.0012,0.0059,0
ministro agricoltura sovranità alimentare foreste ,12,0.0003141526,36.27097,0.7571087,0.0063,0.0009,0.0008,0.0010,0.0008,1
conferenza permanente rapporti stato regioni ,14,0.0003665113,36.15621,0.7600622,0.0009,0.0005,0.0012,0.0059,0.0015,0
stato regioni province autonome trento ,14,0.0003665113,36.07949,0.7596746,0.0059,0.0015,0.0010,0.0008,0.0007,0
permanente rapporti stato regioni province ,14,0.0003665113,35.95273,0.7590315,0.0005,0.0012,0.0059,0.0015,0.0010,0
informativi dipartimento ragioneria generale stato ,18,0.0004712289,35.89314,0.7645879,0.0006,0.0014,0.0008,0.0018,0.0059,0
rapporti stato regioni province autonome ,14,0.0003665113,35.32072,0.7557728,0.0012,0.0059,0.0015,0.0010,0.0008,0
adottare sessanta giorni data entrata ,14,0.0003665113,33.41821,0.7454087,0.0012,0.0008,0.0021,0.0052,0.0029,0
sessanta giorni data entrata vigore ,21,0.0005497670,32.84041,0.7520251,0.0008,0.0021,0.0052,0.0029,0.0027,1
trenta giorni data entrata vigore ,13,0.0003403320,32.57900,0.7387567,0.0006,0.0021,0.0052,0.0029,0.0027,1
infrastrutture trasporti concerto ministro economia ,11,0.0002879732,32.36568,0.7334590,0.0010,0.0015,0.0015,0.0063,0.0034,0
ministro infrastrutture trasporti concerto ministro ,11,0.0002879732,31.48029,0.7280015,0.0063,0.0010,0.0015,0.0015,0.0063,0
giorni data entrata vigore presente ,51,0.0013351484,30.90020,0.7639302,0.0021,0.0052,0.0029,0.0027,0.0076,0
concerto ministro economia finanze adottare ,10,0.0002617938,30.81477,0.7214200,0.0015,0.0063,0.0034,0.0034,0.0012,0
trasporti concerto ministro economia finanze ,11,0.0002879732,30.61792,0.7224667,0.0015,0.0015,0.0063,0.0034,0.0034,0
anno_2024 milioni_di_euro anno_2025 milioni_di_euro anno_2026 ,10,0.0002617938,29.82689,0.7148245,0.0025,0.0110,0.0014,0.0110,0.0007,0
stato previsione ministero economia finanze ,13,0.0003403320,29.58155,0.7197051,0.0059,0.0018,0.0035,0.0034,0.0034,0
anno_2023 milioni_di_euro anno_2024 milioni_di_euro anno_2025 ,21,0.0005497670,27.21075,0.7153261,0.0084,0.0110,0.0025,0.0110,0.0014,0
anno_2023 euro annui decorrere anno_2024 ,10,0.0002617938,26.90545,0.6933549,0.0084,0.0079,0.0026,0.0048,0.0025,0
data entrata vigore presente sono ,22,0.0005759464,26.78047,0.7133422,0.0052,0.0029,0.0027,0.0076,0.0161,0
anno_2023 milioni_di_euro annui decorrere anno_2024 ,11,0.0002879732,26.55891,0.6930698,0.0084,0.0110,0.0026,0.0048,0.0025,0
milioni_di_euro anno_2024 milioni_di_euro anno_2025 milioni_di_euro ,13,0.0003403320,26.13212,0.6940270,0.0110,0.0025,0.0110,0.0014,0.0110,0
autorizzata spesa euro anno_2023 euro ,17,0.0004450495,25.68924,0.6976414,0.0032,0.0049,0.0079,0.0084,0.0079,0
euro anno_2023 euro annui decorrere ,10,0.0002617938,25.27185,0.6798784,0.0079,0.0084,0.0079,0.0026,0.0048,0
euro anno_2023 euro anno_2024 euro ,13,0.0003403320,24.95401,0.6841442,0.0079,0.0084,0.0079,0.0025,0.0079,0
milioni_di_euro anno_2023 milioni_di_euro anno_2024 milioni_di_euro ,24,0.0006283051,24.38640,0.6963037,0.0110,0.0084,0.0110,0.0025,0.0110,0
milioni_di_euro anno_2023 milioni_di_euro annui decorrere ,10,0.0002617938,24.30376,0.6713182,0.0110,0.0084,0.0110,0.0026,0.0048,0
