ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,keep
rimborsi spese emolumenti denominati ,10,0.0002178270,32.71100,0.7289273,0.0003,0.0019,0.0002,0.0003,0
domanda abbiano occupato mediamente ,11,0.0002396097,32.02526,0.7269829,0.0009,0.0008,0.0003,0.0003,0
conferenza statoà autonomie locali ,13,0.0002831750,30.60370,0.7219605,0.0010,0.0003,0.0006,0.0010,0
presentazione domanda abbiano occupato ,11,0.0002396097,30.56659,0.7176331,0.0007,0.0009,0.0008,0.0003,0
commissione tecnica fabbisogni standard ,10,0.0002178270,30.28740,0.7134517,0.0010,0.0004,0.0005,0.0009,1
sede conferenza statoà autonomie ,11,0.0002396097,29.70794,0.7118238,0.0016,0.0010,0.0003,0.0006,0
intesa sede conferenza statoà ,10,0.0002178270,29.02040,0.7046364,0.0009,0.0016,0.0010,0.0003,0
sede conferenza permanente rapporti ,10,0.0002178270,28.13349,0.6981358,0.0016,0.0010,0.0006,0.0007,0
riduzione attività lavorativa decorrenti ,13,0.0002831750,27.70161,0.7015263,0.0014,0.0054,0.0005,0.0003,0
permanente rapporti stato regioni_province_autonome_trento_bolzano ,18,0.0003920885,27.64928,0.7095779,0.0006,0.0007,0.0047,0.0008,0
conferenza permanente rapporti stato ,18,0.0003920885,27.44288,0.7080313,0.0010,0.0006,0.0007,0.0047,0
semestre precedente data presentazione ,11,0.0002396097,27.27391,0.6939761,0.0003,0.0013,0.0047,0.0007,0
attività lavorativa decorrenti gennaio ,13,0.0002831750,27.13909,0.6972130,0.0054,0.0005,0.0003,0.0021,0
sospensione riduzione attività lavorativa ,16,0.0003485231,26.69918,0.6991943,0.0008,0.0014,0.0054,0.0005,0
dl_22_3_2021_n_41 convertito modificazioni l_21_5_2021_n_69 ,10,0.0002178270,26.66593,0.6867271,0.0002,0.0058,0.0074,0.0002,0
dl_14_8_2020_n_104 convertito modificazioni l_13_10_2020_n_126 ,11,0.0002396097,26.52869,0.6880611,0.0002,0.0058,0.0074,0.0002,0
data presentazione domanda abbiano ,11,0.0002396097,26.50652,0.6878817,0.0047,0.0007,0.0009,0.0008,0
fabbisogno sanitario nazionale standard ,12,0.0002613923,26.44968,0.6896707,0.0007,0.0011,0.0042,0.0009,1
fondo sociale occupazione formazione ,10,0.0002178270,26.24289,0.6832766,0.0076,0.0010,0.0003,0.0012,1
dl_30_4_2019_n_34 convertito modificazioni l_28_6_2019_n_58 ,14,0.0003049577,26.08186,0.6907096,0.0003,0.0058,0.0074,0.0003,0
periodi sospensione riduzione attività ,15,0.0003267404,25.90586,0.6910915,0.0008,0.0008,0.0014,0.0054,0
precedente data presentazione domanda ,11,0.0002396097,25.82386,0.6822524,0.0013,0.0047,0.0007,0.0009,0
dl_19_5_2020_n_34 convertito modificazioni l_17_7_2020_n_77 ,21,0.0004574366,25.59705,0.6976348,0.0005,0.0058,0.0074,0.0005,0
dl_25_5_2021_n_73 convertito modificazioni l_23_7_2021_n_106 ,22,0.0004792193,25.53000,0.6983610,0.0005,0.0058,0.0074,0.0005,0
finanze intesa sede conferenza ,12,0.0002613923,25.44575,0.6813287,0.0041,0.0009,0.0016,0.0010,0
adottare sessanta giorni data ,24,0.0005227847,24.77198,0.6944089,0.0014,0.0010,0.0027,0.0047,0
adottare novanta giorni data ,11,0.0002396097,24.71023,0.6726205,0.0014,0.0005,0.0027,0.0047,0
sessanta giorni data entrata ,39,0.0008495251,24.49455,0.7059842,0.0010,0.0027,0.0047,0.0028,0
novanta giorni data entrata ,16,0.0003485231,24.27294,0.6787849,0.0005,0.0027,0.0047,0.0028,0
giorni data entrata vigore ,73,0.0015901368,24.01584,0.7209263,0.0027,0.0047,0.0028,0.0026,0
reddito complessivo superiore euro ,11,0.0002396097,23.87053,0.6649625,0.0008,0.0014,0.0018,0.0078,0
economia finanze intesa sede ,12,0.0002613923,23.35289,0.6624109,0.0042,0.0041,0.0009,0.0016,0
trenta giorni data entrata ,10,0.0002178270,23.24708,0.6564819,0.0006,0.0027,0.0047,0.0028,0
data entrata vigore presente ,109,0.0023743138,23.19249,0.7267921,0.0047,0.0028,0.0026,0.0071,0
istituito stato previsione ministero ,18,0.0003920885,22.58099,0.6661546,0.0020,0.0047,0.0019,0.0036,0
ministro lavoro politiche sociali ,22,0.0004792193,22.41260,0.6702407,0.0068,0.0048,0.0019,0.0014,1
concerto ministro economia finanze ,57,0.0012416137,22.28286,0.6977255,0.0021,0.0068,0.0042,0.0041,0
previsione ministero economia finanze ,26,0.0005663501,22.22750,0.6732848,0.0019,0.0036,0.0042,0.0041,0
stato previsione ministero economia ,26,0.0005663501,22.01848,0.6712031,0.0047,0.0019,0.0036,0.0042,0
decreto ministro sviluppo economico ,17,0.0003703058,21.81059,0.6567559,0.0053,0.0068,0.0020,0.0014,0
decreto ministro università ricerca ,13,0.0002831750,21.52810,0.6462155,0.0053,0.0068,0.0012,0.0022,0
sono definiti criteri modalità ,11,0.0002396097,21.29938,0.6391142,0.0164,0.0009,0.0018,0.0034,0
limite spesa autorizzato sensi ,10,0.0002178270,21.19755,0.6353785,0.0033,0.0058,0.0010,0.0050,0
