ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,keep
cassa depositi prestiti ,11,0.0002404529,23.052844,0.6572480,0.0004,0.0002,0.0003,1
affari esteri cooperazione_internazionale ,13,0.0002841716,22.712271,0.6584561,0.0004,0.0003,0.0003,0
abbiano occupato mediamente ,11,0.0002404529,21.886379,0.6454572,0.0008,0.0003,0.0003,0
autorità politica delegata ,12,0.0002623123,21.739217,0.6463149,0.0006,0.0004,0.0003,0
infrastrutture mobilità sostenibili ,10,0.0002185936,20.958139,0.6328399,0.0004,0.0006,0.0004,0
rimborsi spese emolumenti ,10,0.0002185936,20.915766,0.6323695,0.0003,0.0019,0.0002,0
spese emolumenti denominati ,10,0.0002185936,20.800382,0.6310825,0.0019,0.0002,0.0003,0
conferenza statoà autonomie ,13,0.0002841716,20.661815,0.6368697,0.0010,0.0003,0.0006,0
statoà autonomie locali ,13,0.0002841716,20.599093,0.6361663,0.0003,0.0006,0.0010,0
pubblicato gazzetta ufficiale ,20,0.0004371871,20.451184,0.6469714,0.0006,0.0007,0.0007,0
domanda abbiano occupato ,11,0.0002404529,20.114640,0.6259107,0.0009,0.0008,0.0003,0
nazionale ripresa resilienza ,10,0.0002185936,19.738064,0.6187961,0.0040,0.0003,0.0002,0
conferenza permanente rapporti ,18,0.0003934684,19.694354,0.6351825,0.0010,0.0006,0.0007,0
lavorativa decorrenti gennaio ,13,0.0002841716,19.584880,0.6244018,0.0005,0.0003,0.0021,0
ministero_del_lavoro politiche sociali ,23,0.0005027652,19.569455,0.6410480,0.0005,0.0014,0.0009,0
bilancio autonomo presidenza_del_consiglio_dei_ministri ,10,0.0002185936,19.502072,0.6159548,0.0012,0.0004,0.0006,0
presidente consiglio ministri ,20,0.0004371871,19.022701,0.6302630,0.0008,0.0014,0.0007,0
sede conferenza statoà ,11,0.0002404529,19.019029,0.6127070,0.0016,0.0010,0.0003,0
disponibili legislazione vigente ,15,0.0003278904,18.970435,0.6210665,0.0009,0.0006,0.0013,0
nuovi maggiori oneri ,19,0.0004153278,18.888242,0.6270642,0.0008,0.0007,0.0017,0
comuni popolazione abitanti ,10,0.0002185936,18.802518,0.6072776,0.0018,0.0006,0.0004,0
presentazione domanda abbiano ,11,0.0002404529,18.771358,0.6095920,0.0007,0.0009,0.0008,0
intesa sede conferenza ,27,0.0005902026,18.658130,0.6349622,0.0009,0.0016,0.0010,0
periodi sospensione riduzione ,15,0.0003278904,18.351654,0.6132313,0.0009,0.0008,0.0014,0
attività lavorativa decorrenti ,13,0.0002841716,18.227419,0.6074112,0.0054,0.0005,0.0003,0
sede conferenza permanente ,10,0.0002185936,17.724596,0.5931121,0.0016,0.0010,0.0006,0
trattamenti integrazione salariale ,15,0.0003278904,17.688886,0.6044716,0.0007,0.0016,0.0013,0
superiore dodici mesi ,10,0.0002185936,17.677068,0.5924640,0.0018,0.0004,0.0014,0
permanente rapporti stato ,18,0.0003934684,17.438268,0.6065541,0.0006,0.0007,0.0047,0
credito imposta riconosciuto ,13,0.0002841716,17.353051,0.5956288,0.0008,0.0020,0.0011,0
fermo restando previsto ,13,0.0002841716,17.301874,0.5949173,0.0007,0.0011,0.0022,0
adottare sessanta giorni ,24,0.0005246246,17.036811,0.6099118,0.0014,0.0010,0.0027,0
rapporti stato regioni_province_autonome_trento_bolzano ,18,0.0003934684,17.010974,0.6006183,0.0007,0.0047,0.0009,0
adottare novanta giorni ,11,0.0002404529,16.975068,0.5854072,0.0014,0.0005,0.0027,0
ministero transizione ecologica ,16,0.0003497497,16.939244,0.5960192,0.0036,0.0009,0.0008,1
reddito complessivo superiore ,11,0.0002404529,16.865638,0.5838367,0.0008,0.0014,0.0018,0
straordinario integrazione salariale ,11,0.0002404529,16.859658,0.5837505,0.0009,0.0016,0.0013,0
semestre precedente data ,11,0.0002404529,16.821956,0.5832064,0.0003,0.0013,0.0047,0
data presentazione domanda ,13,0.0002841716,16.499055,0.5834177,0.0047,0.0007,0.0009,1
riduzione attività lavorativa ,16,0.0003497497,16.412242,0.5883867,0.0014,0.0054,0.0005,0
data entrata vigore ,115,0.0025138260,16.117351,0.6511206,0.0047,0.0028,0.0026,1
sessanta giorni data ,39,0.0008525149,16.020245,0.6110811,0.0010,0.0027,0.0047,0
ministro transizione ecologica ,13,0.0002841716,15.808542,0.5729914,0.0063,0.0009,0.0008,1
novanta giorni data ,16,0.0003497497,15.798632,0.5791283,0.0005,0.0027,0.0047,0
sospensione riduzione attività ,16,0.0003497497,15.787962,0.5789636,0.0008,0.0014,0.0054,0
limite massimo annuale ,10,0.0002185936,15.776336,0.5647355,0.0033,0.0016,0.0008,1
precedente data presentazione ,11,0.0002404529,15.684977,0.5661029,0.0013,0.0047,0.0007,0
servizio sanitario nazionale ,18,0.0003934684,15.551644,0.5789220,0.0025,0.0008,0.0040,1
entrata vigore presente ,109,0.0023826699,15.457323,0.6395112,0.0028,0.0026,0.0071,0
finanze intesa sede ,12,0.0002623123,15.441142,0.5648323,0.0041,0.0009,0.0016,0
giorni data entrata ,73,0.0015957331,15.426065,0.6240916,0.0027,0.0047,0.0028,0
definiti criteri modalità ,11,0.0002404529,15.361032,0.5609699,0.0009,0.0018,0.0034,0
istituito stato previsione ,33,0.0007213588,15.307493,0.5945930,0.0020,0.0047,0.0019,0
anno_2025 milioni_di_euro anno_2026 ,19,0.0004153278,15.095831,0.5733474,0.0010,0.0151,0.0008,0
anno_2026 milioni_di_euro anno_2027 ,11,0.0002404529,15.054361,0.5559973,0.0008,0.0151,0.0006,0
ministro sviluppo economico ,26,0.0005683433,14.951198,0.5810319,0.0063,0.0021,0.0014,1
trenta giorni data ,11,0.0002404529,14.910280,0.5536220,0.0006,0.0027,0.0047,0
ministero università ricerca ,13,0.0002841716,14.886870,0.5582335,0.0036,0.0012,0.0022,1
