ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,keep
stato previsione ministero ,42,0.0009180930,14.798614,0.5946159,0.0047,0.0019,0.0036,0
ministero economia finanze ,78,0.0017050298,14.775280,0.6163746,0.0036,0.0042,0.0041,1
ministro università ricerca ,19,0.0004153278,14.603216,0.5652126,0.0063,0.0012,0.0022,1
anno_2024 milioni_di_euro anno_2025 ,27,0.0005902026,14.582536,0.5761790,0.0016,0.0151,0.0010,0
dl_25_5_2021_n_73 convertito modificazioni ,22,0.0004809059,14.493306,0.5680249,0.0005,0.0058,0.0075,0
convertito modificazioni l_23_7_2021_n_106 ,22,0.0004809059,14.493306,0.5680249,0.0058,0.0075,0.0005,0
convertito modificazioni l_17_7_2020_n_77 ,21,0.0004590465,14.493275,0.5665342,0.0058,0.0075,0.0005,0
dl_19_5_2020_n_34 convertito modificazioni ,21,0.0004590465,14.493275,0.5665342,0.0005,0.0058,0.0075,0
convertito modificazioni l_28_6_2019_n_58 ,14,0.0003060310,14.492931,0.5538637,0.0058,0.0075,0.0003,0
dl_14_8_2020_n_104 convertito modificazioni ,11,0.0002404529,14.492650,0.5465912,0.0002,0.0058,0.0075,0
convertito modificazioni l_13_10_2020_n_126 ,11,0.0002404529,14.492650,0.5465912,0.0058,0.0075,0.0002,0
convertito modificazioni l_21_5_2021_n_69 ,10,0.0002185936,14.492519,0.5437689,0.0058,0.0075,0.0002,0
dl_22_3_2021_n_41 convertito modificazioni ,10,0.0002185936,14.492519,0.5437689,0.0002,0.0058,0.0075,0
concerto ministro economia ,57,0.0012459833,14.430800,0.5993032,0.0021,0.0063,0.0042,0
dl_30_4_2019_n_34 convertito modificazioni ,14,0.0003060310,14.393464,0.5521613,0.0003,0.0058,0.0075,0
ministro economia finanze ,100,0.0021859357,14.302592,0.6180862,0.0063,0.0042,0.0041,0
previsione ministero economia ,26,0.0005683433,14.269958,0.5696384,0.0019,0.0036,0.0042,0
economia finanze intesa ,13,0.0002841716,14.181230,0.5462265,0.0042,0.0041,0.0009,0
entrata bilancio stato ,14,0.0003060310,14.166441,0.5482268,0.0028,0.0012,0.0047,0
complessivo superiore euro ,16,0.0003497497,14.124157,0.5516054,0.0014,0.0018,0.0079,0
anno_2024 euro anno_2025 ,10,0.0002185936,14.088157,0.5367404,0.0016,0.0079,0.0010,0
limite spesa autorizzato ,13,0.0002841716,13.924831,0.5417004,0.0033,0.0058,0.0010,0
economia finanze adottare ,16,0.0003497497,13.794082,0.5457497,0.0042,0.0041,0.0014,0
sono definiti criteri ,17,0.0003716091,13.706841,0.5460726,0.0165,0.0009,0.0018,0
anno_2023 milioni_di_euro anno_2024 ,35,0.0007650775,13.580972,0.5674561,0.0027,0.0151,0.0016,0
dlgs_14_9_2015_n_148 sono apportate ,12,0.0002623123,13.493066,0.5314429,0.0008,0.0165,0.0017,0
apportate modificazioni parole ,32,0.0006994994,13.394230,0.5610003,0.0017,0.0075,0.0052,0
sono stabiliti criteri ,10,0.0002185936,13.289136,0.5221952,0.0165,0.0007,0.0018,0
decreto ministero interno ,12,0.0002623123,13.279966,0.5274769,0.0053,0.0036,0.0014,0
aggiunto fine periodo ,19,0.0004153278,13.246311,0.5411125,0.0008,0.0067,0.0077,0
istituito fondo dotazione ,14,0.0003060310,13.135786,0.5294591,0.0020,0.0074,0.0023,0
sono individuati criteri ,10,0.0002185936,13.124124,0.5190769,0.0165,0.0008,0.0018,0
sono apportate modificazioni ,76,0.0016613111,12.990668,0.5845299,0.0165,0.0017,0.0075,0
anno_2023 euro anno_2024 ,12,0.0002623123,12.975232,0.5216874,0.0027,0.0079,0.0016,0
decreto ministro cultura ,10,0.0002185936,12.937708,0.5155047,0.0053,0.0063,0.0008,0
spesa autorizzato sensi ,10,0.0002185936,12.929681,0.5153497,0.0058,0.0010,0.0050,0
fondo denominato fondo ,10,0.0002185936,12.897489,0.5147270,0.0074,0.0005,0.0074,0
decreto ministro università ,13,0.0002841716,12.809372,0.5209111,0.0053,0.0063,0.0012,0
concerto ministero economia ,10,0.0002185936,12.750980,0.5118729,0.0021,0.0036,0.0042,0
milioni_di_euro annui decorrere ,37,0.0008087962,12.669734,0.5522586,0.0151,0.0017,0.0048,0
autorizzata spesa euro ,40,0.0008743743,12.634471,0.5542910,0.0030,0.0058,0.0079,0
annui decorrere anno_2022 ,19,0.0004153278,12.549930,0.5276762,0.0017,0.0048,0.0084,0
decreto ministro sviluppo ,17,0.0003716091,12.396807,0.5210771,0.0053,0.0063,0.0021,0
anno_2021 sono sostituite ,19,0.0004153278,12.368019,0.5240357,0.0012,0.0165,0.0038,0
decreto ministro interno ,11,0.0002404529,12.323293,0.5061888,0.0053,0.0063,0.0014,0
anno_2022 milioni_di_euro anno_2023 ,62,0.0013552801,11.967083,0.5567567,0.0084,0.0151,0.0027,0
autorizzata spesa milioni_di_euro ,47,0.0010273898,11.928552,0.5457954,0.0030,0.0058,0.0151,0
euro anno_2025 euro ,10,0.0002185936,11.746214,0.4913567,0.0079,0.0010,0.0079,0
vigore presente decreto ,14,0.0003060310,11.600049,0.4984106,0.0026,0.0071,0.0053,0
milioni_di_euro anno_2025 milioni_di_euro ,29,0.0006339214,11.405107,0.5177429,0.0151,0.0010,0.0151,0
parole sono sostituite ,40,0.0008743743,11.368212,0.5280743,0.0052,0.0165,0.0038,0
decreto ministro economia ,17,0.0003716091,11.366512,0.4993978,0.0053,0.0063,0.0042,0
milioni_di_euro anno_2030 milioni_di_euro ,10,0.0002185936,11.335638,0.4824682,0.0151,0.0004,0.0151,0
milioni_di_euro anno_2029 milioni_di_euro ,10,0.0002185936,11.335638,0.4824682,0.0151,0.0004,0.0151,0
apportate modificazioni periodo ,11,0.0002404529,11.297047,0.4844567,0.0017,0.0075,0.0077,0
sensi presente comma ,14,0.0003060310,11.294935,0.4917476,0.0050,0.0071,0.0034,0
vigore presente sono ,35,0.0007650775,11.282460,0.5215016,0.0026,0.0071,0.0165,0
dotazione pari milioni_di_euro ,12,0.0002623123,11.277718,0.4866509,0.0023,0.0030,0.0151,0
incrementato milioni_di_euro anno_2022 ,13,0.0002841716,11.251522,0.4885069,0.0009,0.0151,0.0084,0
economia finanze ministro ,12,0.0002623123,11.243698,0.4858962,0.0042,0.0041,0.0063,0
euro anno_2024 euro ,10,0.0002185936,11.151160,0.4783725,0.0079,0.0016,0.0079,0
periodo presente comma ,18,0.0003934684,11.039493,0.4939159,0.0077,0.0071,0.0034,0
presente sono definiti ,10,0.0002185936,10.989455,0.4747287,0.0071,0.0165,0.0009,0
superiore euro euro ,10,0.0002185936,10.908621,0.4728881,0.0018,0.0079,0.0079,0
milioni_di_euro anno_2026 milioni_di_euro ,15,0.0003278904,10.879217,0.4845174,0.0151,0.0008,0.0151,0
fine autorizzata spesa ,10,0.0002185936,10.873652,0.4720878,0.0067,0.0030,0.0058,0
milioni_di_euro anno_2024 milioni_di_euro ,30,0.0006557807,10.858962,0.5066359,0.0151,0.0016,0.0151,0
dotazione milioni_di_euro anno_2022 ,24,0.0005246246,10.787103,0.4974791,0.0023,0.0151,0.0084,0
milioni_di_euro anno_2023 milioni_di_euro ,49,0.0010711085,10.785876,0.5222538,0.0151,0.0027,0.0151,0
euro anno_2023 euro ,13,0.0002841716,10.748766,0.4770928,0.0079,0.0027,0.0079,0
milioni_di_euro annui anni ,11,0.0002404529,10.676680,0.4703665,0.0151,0.0017,0.0056,0
fondo dotazione milioni_di_euro ,19,0.0004153278,10.637898,0.4863849,0.0074,0.0023,0.0151,0
milioni_di_euro anno_2027 milioni_di_euro ,10,0.0002185936,10.616079,0.4661176,0.0151,0.0006,0.0151,0
euro anno_2022 favore ,10,0.0002185936,10.589394,0.4654913,0.0079,0.0084,0.0021,0
spesa euro anno_2022 ,27,0.0005902026,10.587307,0.4967346,0.0058,0.0079,0.0084,0
anno_2022 euro anno_2023 ,12,0.0002623123,10.536430,0.4696874,0.0084,0.0079,0.0027,0
pari milioni_di_euro anni ,13,0.0002841716,10.123514,0.4621667,0.0030,0.0151,0.0056,0
economia finanze sono ,14,0.0003060310,10.087609,0.4635500,0.0042,0.0041,0.0165,0
sono sostituite parole ,14,0.0003060310, 9.853639,0.4577196,0.0165,0.0038,0.0052,0
pari milioni_di_euro anno_2022 ,16,0.0003497497, 9.845605,0.4616499,0.0030,0.0151,0.0084,0
milioni_di_euro anno_2022 milioni_di_euro ,78,0.0017050298, 9.798671,0.5158646,0.0151,0.0084,0.0151,0
spesa milioni_di_euro anno_2022 ,29,0.0006339214, 9.751821,0.4786116,0.0058,0.0151,0.0084,0
milioni_di_euro decorrere anno_2022 ,22,0.0004809059, 9.634924,0.4664268,0.0151,0.0048,0.0084,0
presente comma sono ,14,0.0003060310, 9.582048,0.4507909,0.0071,0.0034,0.0165,0
euro anno_2022 euro ,18,0.0003934684, 9.560355,0.4580509,0.0079,0.0084,0.0079,0
anni sono sostituite ,12,0.0002623123, 9.526914,0.4446979,0.0056,0.0165,0.0038,0
sono sostituite anni ,10,0.0002185936, 9.263880,0.4324199,0.0165,0.0038,0.0056,0
milioni_di_euro anni milioni_di_euro ,35,0.0007650775, 9.220021,0.4710791,0.0151,0.0056,0.0151,0
anni milioni_di_euro anni ,12,0.0002623123, 9.094891,0.4332692,0.0056,0.0151,0.0056,0
spesa milioni_di_euro anni ,12,0.0002623123, 9.056271,0.4322246,0.0058,0.0151,0.0056,0
parole anni sono ,11,0.0002404529, 8.945726,0.4266435,0.0052,0.0056,0.0165,0
milioni_di_euro anno_2022 fine ,11,0.0002404529, 8.150462,0.4040399,0.0151,0.0084,0.0067,0
