ngrams,freq,prop,pmi,npmi,ni.1,ni.2,ni.3,ni.4,ni.5,keep
presentazione domanda abbiano occupato mediamente ,11,0.0002382448,42.50010,0.7793126,0.0007,0.0009,0.0008,0.0003,0.0003,0
intesa sede conferenza statoà autonomie ,10,0.0002165862,39.73221,0.7654797,0.0009,0.0016,0.0010,0.0003,0.0006,0
sede conferenza statoà autonomie locali ,11,0.0002382448,39.67272,0.7672455,0.0016,0.0010,0.0003,0.0006,0.0010,0
data presentazione domanda abbiano occupato ,11,0.0002382448,38.32464,0.7610149,0.0047,0.0007,0.0009,0.0008,0.0003,0
sospensione riduzione attività lavorativa decorrenti ,13,0.0002815620,38.01144,0.7631946,0.0008,0.0014,0.0053,0.0005,0.0003,0
regioni province autonome trento bolzano ,39,0.0008446861,37.71890,0.7869877,0.0022,0.0014,0.0012,0.0010,0.0010,1
semestre precedente data presentazione domanda ,11,0.0002382448,37.43568,0.7567205,0.0003,0.0013,0.0047,0.0007,0.0009,0
ministero politiche agricole alimentari forestali ,16,0.0003465379,36.90742,0.7625166,0.0039,0.0024,0.0007,0.0006,0.0007,1
periodi sospensione riduzione attività lavorativa ,15,0.0003248793,36.83997,0.7607198,0.0008,0.0008,0.0014,0.0053,0.0005,0
riduzione attività lavorativa decorrenti gennaio ,13,0.0002815620,36.63617,0.7564701,0.0014,0.0053,0.0005,0.0003,0.0021,0
conferenza permanente rapporti stato regioni ,18,0.0003898551,36.27591,0.7620880,0.0010,0.0006,0.0007,0.0047,0.0022,0
precedente data presentazione domanda abbiano ,11,0.0002382448,36.09522,0.7499450,0.0013,0.0047,0.0007,0.0009,0.0008,0
sede conferenza permanente rapporti stato ,10,0.0002165862,35.90490,0.7468103,0.0016,0.0010,0.0006,0.0007,0.0047,0
permanente rapporti stato regioni province ,18,0.0003898551,35.76786,0.7595213,0.0006,0.0007,0.0047,0.0022,0.0014,0
ministro politiche agricole alimentari forestali ,11,0.0002382448,35.51531,0.7468955,0.0070,0.0024,0.0007,0.0006,0.0007,1
rapporti stato regioni province autonome ,18,0.0003898551,34.84471,0.7547130,0.0007,0.0047,0.0022,0.0014,0.0012,0
stato regioni province autonome trento ,18,0.0003898551,34.44043,0.7525462,0.0047,0.0022,0.0014,0.0012,0.0010,0
economia finanze intesa sede conferenza ,12,0.0002599034,33.38039,0.7370346,0.0042,0.0040,0.0009,0.0016,0.0010,0
adottare sessanta giorni data entrata ,24,0.0005198068,33.26917,0.7530555,0.0014,0.0010,0.0027,0.0047,0.0028,0
adottare novanta giorni data entrata ,11,0.0002382448,33.20743,0.7339843,0.0014,0.0005,0.0027,0.0047,0.0028,0
sessanta giorni data entrata vigore ,39,0.0008446861,33.10721,0.7643093,0.0010,0.0027,0.0047,0.0028,0.0026,0
novanta giorni data entrata vigore ,16,0.0003465379,32.88560,0.7409954,0.0005,0.0027,0.0047,0.0028,0.0026,0
trenta giorni data entrata vigore ,10,0.0002165862,31.85974,0.7235504,0.0006,0.0027,0.0047,0.0028,0.0026,0
giorni data entrata vigore presente ,72,0.0015594204,31.17127,0.7697362,0.0027,0.0047,0.0028,0.0026,0.0070,0
anno_2025 milioni_di_euro anno_2026 milioni_di_euro anno_2027 ,11,0.0002382448,31.08545,0.7208936,0.0010,0.0149,0.0008,0.0149,0.0006,0
reddito complessivo superiore euro euro ,10,0.0002165862,30.76080,0.7164743,0.0008,0.0013,0.0018,0.0078,0.0078,0
anno_2024 milioni_di_euro anno_2025 milioni_di_euro anno_2026 ,17,0.0003681965,30.37140,0.7269600,0.0015,0.0149,0.0010,0.0149,0.0008,0
stato previsione ministero economia finanze ,26,0.0005631240,29.86384,0.7345114,0.0047,0.0019,0.0039,0.0042,0.0040,0
istituito stato previsione ministero economia ,11,0.0002382448,29.67005,0.7114213,0.0019,0.0047,0.0019,0.0039,0.0042,0
concerto ministro economia finanze adottare ,10,0.0002165862,29.19697,0.7057566,0.0021,0.0070,0.0042,0.0040,0.0014,0
anno_2023 milioni_di_euro anno_2024 milioni_di_euro anno_2025 ,22,0.0004764896,28.94221,0.7239629,0.0026,0.0149,0.0015,0.0149,0.0010,0
decreto ministro lavoro politiche sociali ,14,0.0003032206,28.91741,0.7121681,0.0052,0.0070,0.0048,0.0024,0.0014,0
euro anno_2024 euro anno_2025 euro ,10,0.0002165862,28.12082,0.6978981,0.0078,0.0015,0.0078,0.0010,0.0078,0
entrata vigore presente sono definiti ,10,0.0002165862,28.07642,0.6975648,0.0028,0.0026,0.0070,0.0163,0.0009,0
data entrata vigore presente decreto ,14,0.0003032206,27.83241,0.7042657,0.0047,0.0028,0.0026,0.0070,0.0052,0
data entrata vigore presente sono ,35,0.0007580516,27.51482,0.7263635,0.0047,0.0028,0.0026,0.0070,0.0163,0
concerto ministro economia finanze ministro ,12,0.0002599034,27.16918,0.6952388,0.0021,0.0070,0.0042,0.0040,0.0070,0
milioni_di_euro anno_2025 milioni_di_euro anno_2026 milioni_di_euro ,15,0.0003248793,26.91030,0.6990032,0.0149,0.0010,0.0149,0.0008,0.0149,0
anno_2022 euro anno_2023 euro anno_2024 ,10,0.0002165862,26.64801,0.6864367,0.0083,0.0078,0.0026,0.0078,0.0015,0
milioni_di_euro anno_2024 milioni_di_euro anno_2025 milioni_di_euro ,25,0.0005414654,26.62701,0.7104732,0.0149,0.0015,0.0149,0.0010,0.0149,0
anno_2022 milioni_di_euro anno_2023 milioni_di_euro anno_2024 ,28,0.0006064413,26.25627,0.7107120,0.0083,0.0149,0.0026,0.0149,0.0015,0
milioni_di_euro anno_2023 milioni_di_euro anno_2024 milioni_di_euro ,24,0.0005198068,25.19216,0.6978071,0.0149,0.0026,0.0149,0.0015,0.0149,0
euro anno_2022 euro anno_2023 euro ,11,0.0002382448,24.44357,0.6700753,0.0078,0.0083,0.0078,0.0026,0.0078,0
milioni_di_euro anno_2022 milioni_di_euro anno_2023 milioni_di_euro ,41,0.0008880033,23.52595,0.6988647,0.0149,0.0083,0.0149,0.0026,0.0149,0
spesa milioni_di_euro anno_2022 milioni_di_euro anno_2023 ,11,0.0002382448,23.00840,0.6565637,0.0057,0.0149,0.0083,0.0149,0.0026,0
